x,y,CHM.S,Slope.S,DistRoad.S,Height,Orientation,BHG,YCASC,Rat
574904.3066,8848438.287,-0.550999743,-0.604665371,-0.91665346,B,Horizontal,1,1,1
574974.3066,8848438.287,-0.487490907,-0.545865359,-0.91665346,B,Horizontal,1,1,1
575044.3066,8848438.287,-0.78970944,-0.487940269,-0.91665346,B,Horizontal,1,1,1
575114.3066,8848438.287,-0.687340272,-0.433694581,-0.91665346,B,Horizontal,1,1,1
575184.3066,8848438.287,0,-0.123233602,0,B,Horizontal,1,1,1
575254.3066,8848438.287,0,0.676909723,0,B,Horizontal,1,1,1
575324.3066,8848438.287,-0.542220218,1.366541877,0,B,Horizontal,1,1,1
575394.3066,8848438.287,-0.291424041,1.934369486,0,B,Horizontal,1,1,1
575464.3066,8848438.287,-0.001633441,2.36202862,-0.91665346,B,Horizontal,1,1,1
575534.3066,8848438.287,-1.303570998,2.379150425,-0.91665346,B,Horizontal,1,1,1
575604.3066,8848438.287,-0.758526903,2.249898077,-0.91665346,B,Horizontal,1,1,1
575674.3066,8848438.287,-0.596882858,1.897075722,-0.91665346,B,Horizontal,1,1,1
575744.3066,8848438.287,-0.394184692,1.259978203,-0.82305302,B,Horizontal,1,1,1
575814.3066,8848438.287,-0.938862412,0.691394039,-0.690682015,B,Horizontal,1,1,1
575884.3066,8848438.287,-0.323230626,0.50778197,-0.690682015,B,Horizontal,1,1,1
575954.3066,8848438.287,-0.473867789,0.631408711,-0.690682015,B,Horizontal,1,1,1
576024.3066,8848438.287,-0.695522251,0.73707346,-0.63733737,B,Horizontal,1,1,1
576094.3066,8848438.287,-0.741644626,0.71410651,-0.503481135,B,Horizontal,1,1,1
576164.3066,8848438.287,-1.247433745,0.617972568,-0.46471057,B,Horizontal,1,1,1
576234.3066,8848438.287,-1.281507021,0.332843736,-0.428040471,B,Horizontal,1,1,1
576304.3066,8848438.287,-0.938510543,0.020497353,-0.327873252,B,Horizontal,1,1,1
576374.3066,8848438.287,-1.261951134,-0.019827102,-0.238739124,B,Horizontal,1,1,1
576444.3066,8848438.287,-0.847692611,0.037118112,-0.238739124,B,Horizontal,1,1,1
576514.3066,8848438.287,-0.932590513,0.035019841,-0.210920732,B,Horizontal,1,1,1
576584.3066,8848438.287,-1.329794916,-0.026760104,-0.132049835,B,Horizontal,1,1,1
576654.3066,8848438.287,-1.192497533,-0.20279328,-0.327873252,B,Horizontal,1,1,1
576724.3066,8848438.287,-1.133855166,2.169394013,-0.503481135,B,Horizontal,1,1,1
576794.3066,8848438.287,-1.145821876,2.103714577,-0.690682015,B,Horizontal,1,1,1
576864.3066,8848438.287,0,-0.488702395,-0.91665346,B,Horizontal,1,1,1
576934.3066,8848438.287,-1.368107173,-0.924516059,0,B,Horizontal,1,1,1
573784.3066,8848368.287,-1.455950955,-0.711908362,-0.91665346,B,Horizontal,1,1,1
573854.3066,8848368.287,-1.528971973,0.298302732,0,B,Horizontal,1,1,1
573924.3066,8848368.287,0.073213502,1.775431567,0,B,Horizontal,1,1,1
573994.3066,8848368.287,-0.749782993,1.273910922,0,B,Horizontal,1,1,1
574064.3066,8848368.287,-1.036559272,0.184656052,0,B,Horizontal,1,1,1
574134.3066,8848368.287,-0.400112161,0.806786022,0,B,Horizontal,1,1,1
574204.3066,8848368.287,0,2.029553745,0,B,Horizontal,1,1,1
574274.3066,8848368.287,-0.702491193,2.621443933,0,B,Horizontal,1,1,1
574344.3066,8848368.287,-0.143284925,2.40994992,-0.91665346,B,Horizontal,1,1,1
574414.3066,8848368.287,0.153405061,1.51501485,0,B,Horizontal,1,1,1
574484.3066,8848368.287,-1.509385772,0.695773667,0,B,Horizontal,1,1,1
574554.3066,8848368.287,-0.042551799,0.375460347,0,B,Horizontal,1,1,1
574624.3066,8848368.287,0,0.264452531,0,B,Horizontal,1,1,1
574694.3066,8848368.287,0,0.141964886,0,B,Horizontal,1,1,1
574764.3066,8848368.287,0,0.288983486,0,B,Horizontal,1,1,1
574834.3066,8848368.287,0,0.503284181,0,B,Horizontal,1,1,1
574904.3066,8848368.287,0,0.600120757,0,B,Horizontal,1,1,1
574974.3066,8848368.287,0,0.723495772,0,B,Horizontal,1,1,1
575044.3066,8848368.287,-1.514883447,1.03769654,0,B,Horizontal,1,1,1
575114.3066,8848368.287,0.11079617,1.519474674,0,B,Horizontal,1,1,1
575184.3066,8848368.287,-0.935621757,1.933793128,0,B,Horizontal,1,1,1
575254.3066,8848368.287,-1.274032593,2.148831946,-0.91665346,B,Horizontal,1,1,1
575324.3066,8848368.287,-1.374146414,2.295307614,-0.91665346,B,Horizontal,1,1,1
575394.3066,8848368.287,-0.465640896,2.287844955,-0.91665346,B,Horizontal,1,1,1
575464.3066,8848368.287,-0.121622287,1.804405151,-0.82305302,B,Horizontal,1,1,1
575534.3066,8848368.287,-0.416712496,1.216005571,-0.690682015,B,Horizontal,1,1,1
575604.3066,8848368.287,-0.380684226,0.983293626,-0.690682015,B,Horizontal,1,1,1
575674.3066,8848368.287,-0.5133597,0.851643549,-0.690682015,B,Horizontal,1,1,1
575744.3066,8848368.287,-0.427615974,0.726606039,-0.63733737,B,Horizontal,1,1,1
575814.3066,8848368.287,-0.776174662,0.649529719,-0.503481135,B,Horizontal,1,1,1
575884.3066,8848368.287,-0.877578422,0.593665003,-0.46471057,B,Horizontal,1,1,1
575954.3066,8848368.287,-1.019512591,0.533322719,-0.46471057,B,Horizontal,1,1,1
576024.3066,8848368.287,-1.107868183,0.36057712,-0.428040471,B,Horizontal,1,1,1
576094.3066,8848368.287,-0.599399503,0.059055046,-0.327873252,B,Horizontal,1,1,1
576164.3066,8848368.287,-0.70519084,-0.238204253,-0.238739124,B,Horizontal,1,1,1
576234.3066,8848368.287,-0.791467949,-0.45396111,-0.210920732,B,Horizontal,1,1,1
576304.3066,8848368.287,-1.066795465,-0.500524187,-0.132049835,B,Horizontal,1,1,1
576374.3066,8848368.287,-0.952143424,-0.53723169,-0.012767729,B,Horizontal,1,1,1
576444.3066,8848368.287,-1.294352847,-0.592856337,-0.012767729,B,Horizontal,1,1,1
576514.3066,8848368.287,-1.144088382,-0.147478648,0.009607898,B,Horizontal,1,1,1
576584.3066,8848368.287,-1.250783568,0.242829224,-0.210920732,B,Horizontal,1,1,1
576654.3066,8848368.287,-1.254800679,-0.075079352,-0.428040471,B,Horizontal,1,1,1
576724.3066,8848368.287,-1.376754932,2.272364187,-0.63733737,B,Horizontal,1,1,1
576794.3066,8848368.287,-0.699324557,2.15025647,-0.82305302,B,Horizontal,1,1,1
576864.3066,8848368.287,0,-0.528249903,-0.91665346,B,Horizontal,1,1,1
576934.3066,8848368.287,-1.47605873,-0.910939901,0,B,Horizontal,1,1,1
573714.3066,8848298.287,0,-0.646870691,-0.690682015,B,Horizontal,1,1,1
573784.3066,8848298.287,-1.43050526,-0.425130584,-0.91665346,B,Horizontal,1,1,1
573854.3066,8848298.287,-1.493695424,0.471889621,0,B,Horizontal,1,1,1
573924.3066,8848298.287,-1.065473538,2.046816682,-0.91665346,B,Horizontal,1,1,1
573994.3066,8848298.287,-1.394350618,1.546066897,0,B,Horizontal,1,1,1
574064.3066,8848298.287,-0.226848253,0.2857618,-0.91665346,B,Horizontal,1,1,1
574134.3066,8848298.287,-0.25098067,0.359242557,-0.91665346,B,Horizontal,1,1,1
574204.3066,8848298.287,-0.306411581,0.843221165,-0.91665346,B,Horizontal,1,1,1
574274.3066,8848298.287,-1.317882697,1.640979347,0,B,Horizontal,1,1,1
574344.3066,8848298.287,-0.127307985,2.367219964,0,B,Horizontal,1,1,1
574414.3066,8848298.287,-0.80734632,2.711980743,0,B,Horizontal,1,1,1
574484.3066,8848298.287,-0.004321185,2.754039704,-0.91665346,B,Horizontal,1,1,1
574554.3066,8848298.287,-0.208420132,2.675273241,-0.91665346,B,Horizontal,1,1,1
574624.3066,8848298.287,0.294867592,2.689378454,-0.91665346,B,Horizontal,1,1,1
574694.3066,8848298.287,0.182182448,2.78187763,-0.91665346,B,Horizontal,1,1,1
574764.3066,8848298.287,-0.683572836,2.808574671,-0.91665346,B,Horizontal,1,1,1
574834.3066,8848298.287,-0.532648524,2.662125138,-0.91665346,B,Horizontal,1,1,1
574904.3066,8848298.287,0.186218527,2.478658878,-0.91665346,B,Horizontal,1,1,1
574974.3066,8848298.287,0.130680121,2.372221481,-0.91665346,B,Horizontal,1,1,1
575044.3066,8848298.287,-0.049069188,2.331664351,-0.91665346,B,Horizontal,1,1,1
575114.3066,8848298.287,-0.133193052,2.347875263,-0.91665346,B,Horizontal,1,1,1
575184.3066,8848298.287,-0.127011166,2.199765435,-0.91665346,B,Horizontal,1,1,1
575254.3066,8848298.287,0.524041861,1.83439472,-0.82305302,B,Horizontal,1,1,1
575324.3066,8848298.287,0.012883204,1.421668332,-0.690682015,B,Horizontal,1,1,1
575394.3066,8848298.287,-0.783545315,0.996696619,-0.690682015,B,Horizontal,1,1,1
575464.3066,8848298.287,-0.574443578,0.764304353,-0.63733737,B,Horizontal,1,1,1
575534.3066,8848298.287,-0.981852185,0.895001997,-0.503481135,B,Horizontal,1,1,1
575604.3066,8848298.287,-1.353674403,0.964626111,-0.46471057,B,Horizontal,1,1,1
575674.3066,8848298.287,-1.44569598,0.861702431,-0.46471057,B,Horizontal,1,1,1
575744.3066,8848298.287,-1.488628472,0.719690025,-0.428040471,B,Horizontal,1,1,1
575814.3066,8848298.287,-1.211871162,0.492518127,-0.327873252,B,Horizontal,1,1,1
575884.3066,8848298.287,-1.117774823,0.190678368,-0.238739124,B,Horizontal,1,1,1
575954.3066,8848298.287,-0.74028476,-0.082559206,-0.238739124,B,Horizontal,1,1,1
576024.3066,8848298.287,-0.82546981,-0.202168503,-0.210920732,B,Horizontal,1,1,1
576094.3066,8848298.287,-1.06880402,-0.201283402,-0.132049835,B,Horizontal,1,1,1
576164.3066,8848298.287,-0.845186381,-0.225815801,-0.012767729,B,Horizontal,1,1,1
576234.3066,8848298.287,-0.86441718,-0.223348469,0.009607898,B,Horizontal,1,1,1
576304.3066,8848298.287,-0.603502906,-0.186311658,0.074268601,B,Horizontal,1,1,1
576374.3066,8848298.287,-0.565874487,-0.290062666,0.175003729,B,Horizontal,1,1,1
576444.3066,8848298.287,-1.23972015,-0.570876073,0.213203766,B,Horizontal,1,1,1
576514.3066,8848298.287,-0.723191956,-0.216819536,-0.012767729,B,Horizontal,1,1,1
576584.3066,8848298.287,-1.256456621,0.366591595,-0.238739124,B,Horizontal,1,1,1
576654.3066,8848298.287,-1.254773154,0.671266785,-0.46471057,B,Horizontal,1,1,1
576724.3066,8848298.287,-1.359363078,2.468063255,-0.690682015,B,Horizontal,1,1,1
576794.3066,8848298.287,-0.50023119,1.787087742,-0.91665346,B,Horizontal,1,1,1
576864.3066,8848298.287,0,-0.457793818,0,B,Horizontal,1,1,1
576934.3066,8848298.287,-1.360488798,-0.765473357,0,B,Horizontal,1,1,1
573714.3066,8848228.287,-1.438959649,-0.543025286,-0.82305302,B,Horizontal,1,1,1
573784.3066,8848228.287,-1.498991686,-0.054324295,-0.91665346,B,Horizontal,1,1,1
573854.3066,8848228.287,-0.097078302,1.056757189,0,B,Horizontal,1,1,1
573924.3066,8848228.287,0,2.121139829,0,B,Horizontal,1,1,1
573994.3066,8848228.287,-0.544022153,1.429379692,0,B,Horizontal,1,1,1
574064.3066,8848228.287,-0.59150365,0.335913837,-0.91665346,B,Horizontal,1,1,1
574134.3066,8848228.287,-0.426822967,0.109729312,-0.690682015,B,Horizontal,1,1,1
574204.3066,8848228.287,-0.655267089,0.230284165,-0.82305302,B,Horizontal,1,1,1
574274.3066,8848228.287,-0.486370672,0.558490556,-0.91665346,B,Horizontal,1,1,1
574344.3066,8848228.287,-1.050168349,0.99656938,-0.91665346,B,Horizontal,1,1,1
574414.3066,8848228.287,0,1.54176994,0,B,Horizontal,1,1,1
574484.3066,8848228.287,-1.201171515,2.060553521,0,B,Horizontal,1,1,1
574554.3066,8848228.287,-0.694157177,2.337680477,-0.91665346,B,Horizontal,1,1,1
574624.3066,8848228.287,-0.617103055,2.541087878,-0.91665346,B,Horizontal,1,1,1
574694.3066,8848228.287,-1.103055834,2.692979656,-0.82305302,B,Horizontal,1,1,1
574764.3066,8848228.287,-0.989966003,2.627860071,-0.690682015,B,Horizontal,1,1,1
574834.3066,8848228.287,-1.409396183,2.432001713,-0.690682015,B,Horizontal,1,1,1
574904.3066,8848228.287,-0.738544012,2.259181971,-0.690682015,B,Horizontal,1,1,1
574974.3066,8848228.287,-1.21297066,2.118945269,-0.690682015,B,Horizontal,1,1,1
575044.3066,8848228.287,-0.117704117,1.88425005,-0.690682015,B,Horizontal,1,1,1
575114.3066,8848228.287,0.707611888,1.47758298,-0.690682015,B,Horizontal,1,1,1
575184.3066,8848228.287,-0.113437797,1.091217448,-0.690682015,B,Horizontal,1,1,1
575254.3066,8848228.287,-0.631709714,0.932103458,-0.63733737,B,Horizontal,1,1,1
575324.3066,8848228.287,-0.8788758,0.86485699,-0.503481135,B,Horizontal,1,1,1
575394.3066,8848228.287,-0.538087245,0.836919336,-0.46471057,B,Horizontal,1,1,1
575464.3066,8848228.287,-0.514932325,0.895513978,-0.428040471,B,Horizontal,1,1,1
575534.3066,8848228.287,-0.815861478,0.764576301,-0.327873252,B,Horizontal,1,1,1
575604.3066,8848228.287,-0.216014702,0.439370544,-0.238739124,B,Horizontal,1,1,1
575674.3066,8848228.287,-0.128551058,0.243908897,-0.238739124,B,Horizontal,1,1,1
575744.3066,8848228.287,-1.217373115,0.132578239,-0.210920732,B,Horizontal,1,1,1
575814.3066,8848228.287,-0.310288836,0.029800711,-0.132049835,B,Horizontal,1,1,1
575884.3066,8848228.287,0.053099683,-0.001304226,-0.012767729,B,Horizontal,1,1,1
575954.3066,8848228.287,-0.101140233,-0.005390037,-0.012767729,B,Horizontal,1,1,1
